question,answer,processed_question
How do I reset my password?,"To reset your password, go to the login page and click 'Forgot Password'. Enter your email address and follow the instructions sent to your email.",reset password
What are your business hours?,"Our business hours are Monday to Friday, 9 AM to 6 PM EST. We're closed on weekends and major holidays.",business hour
How can I contact customer support?,"You can contact customer support via email at support@company.com, phone at 1-800-123-4567, or through our live chat feature.",contact customer support
What is your return policy?,We offer a 30-day return policy for unused items in original packaging. Please contact support to initiate a return.,return policy
How do I track my order?,"You can track your order by logging into your account and visiting the 'My Orders' section, or use the tracking number sent to your email.",track order
Do you offer international shipping?,"Yes, we ship to most countries worldwide. Shipping costs and delivery times vary by location. Check our shipping page for details.",offer international shipping
How can I change my account information?,"Log into your account and go to 'Account Settings' where you can update your personal information, email, and preferences.",change account information
What payment methods do you accept?,"We accept major credit cards (Visa, MasterCard, American Express), PayPal, and bank transfers for certain regions.",payment method accept
Is my personal data secure?,"Yes, we use industry-standard encryption and security measures to protect your personal data. Please review our privacy policy for details.",personal data secure
How do I cancel my subscription?,You can cancel your subscription anytime by going to 'Account Settings' and selecting 'Cancel Subscription' or contact our support team.,cancel subscription
